ags,kurz_name,wald_19_qm,sied_verk_19_qm,landwirt_19_qm,verkehr_19_qm,sied_verk_qm_ew_19
"09674139","Gädheim",12.4,14.6,64.1,8.6,1124
"09674180","Theres",36,10.6,47,6.2,1203
"09674219","Wonfurt",15,14.2,67.2,6.2,1236
"09675117","Dettelbach, St",3.1,14,75.9,6.5,1166
"09675127","Geiselwind, M",38.8,12,43.6,6.4,2344
"09675141","Kitzingen, GKSt",22.2,29.9,39.4,8.9,641
"09675144","Mainbernheim, St",21.4,15.5,59.9,6.8,853
"09675158","Prichsenstadt, St",28.6,9.8,57.8,5.3,1566
"09675165","Schwarzach a.Main, M",14.1,17.1,54.6,6.9,994
"09675111","Abtswind, M",39.3,12.3,45.6,6.8,1866
"09675116","Castell",50.2,7.1,40.3,4.3,1994
"09675162","Rüdenhausen, M",2.9,19.8,73.6,11.7,1536
"09675178","Wiesentheid, M",37.6,14.9,43.3,6.1,1030
"09675131","Großlangheim, M",15.1,9.8,70.6,5.3,934
"09675142","Kleinlangheim, M",15.3,13.8,67.7,7.5,1557
"09675177","Wiesenbronn",18.7,10.1,67.5,5.5,996
"09675139","Iphofen, St",39.1,9.4,47.8,5,1565
"09675148","Markt Einersheim, M",14.8,14.5,64,6.7,940
"09675161","Rödelsee",22.9,18.7,55.5,6.6,1178
"09675179","Willanzheim, M",14.1,8.9,73.1,5.2,1404
"09675112","Albertshofen",11.1,33.3,45.1,7.6,552
"09675113","Biebelried",8.8,11.6,77,8,2208
"09675114","Buchbrunn",0.1,15.9,80.9,7.8,666
"09675146","Mainstockheim",7.7,20.3,65,12.5,891
"09675170","Sulzfeld a.Main",21.9,14.7,52.7,8.3,894
"09675147","Marktbreit, St",8,16.7,67,7.5,850
"09675149","Marktsteft, St",10.7,16.5,61.8,7.3,871
"09675150","Martinsheim",6.1,12.5,78.9,7.5,2896
"09675156","Obernbreit, M",6.3,19.1,67.8,8.7,1092
"09675166","Segnitz",6.7,23.1,56.1,7.3,763
"09675167","Seinsheim, M",9.1,10.6,73.3,5.9,1736
"09675155","Nordheim a.Main",1,16.5,68.8,6.5,854
"09675169","Sommerach",3.2,19.2,57.8,8.8,813
