ags,kurz_name,wald_19_qm,sied_verk_19_qm,landwirt_19_qm,verkehr_19_qm,sied_verk_qm_ew_19
"06431011","Heppenheim (Bergstraße)",31.8,19.8,44.6,7,396
"06431012","Hirschhorn (Neckar)",80.2,7.4,7.7,3.8,660
"06431013","Lampertheim",25.3,19.6,47.5,6.5,434
"06431014","Lautertal (Odenwald)",35.7,12.8,50,4.1,549
"06431015","Lindenfels",38.4,14,46.2,5.5,578
"06431016","Lorsch",35.9,24.5,36.1,9.2,451
"06431017","Mörlenbach",29.5,17.5,51.5,5.8,475
"06431018","Neckarsteinach",68.7,13.2,12.6,5.6,588
"06431019","Rimbach, Odenw",29.5,15.7,54,4.5,422
"06431020","Viernheim",57.3,21,20.6,7.2,296
"06431021","Wald-Michelbach",66.5,8.6,24.1,2.9,606
"06431022","Zwingenberg (Bergstraße)",1.9,39.4,55,13.1,309
"06431200","Michelbuch, gem.fr. Geb.",99.5,0.1,0.5,0,0
"06432001","Alsbach-Hähnlein",17.5,24.3,55.5,7.9,421
"06432002","Babenhausen, Hess",48.4,14.3,32.8,5.8,564
"06432003","Bickenbach, Bergstr",17.2,27.7,49,10.7,425
"06432004","Dieburg",46.6,30.6,20.2,9.2,453
"06432005","Eppertshausen",63.1,17.4,18.2,5.3,366
"06432006","Erzhausen",24.7,27.8,45.3,8.7,255
"06432007","Fischbachtal",45.3,13.8,39.3,6,671
"06432008","Griesheim",15.8,35.6,46.3,10.9,279
"06432009","Groß-Bieberau",35.8,14,48.8,6,548
"06432010","Groß-Umstadt",35.3,13.8,49.6,6.4,565
"06432011","Groß-Zimmern",33.2,22.9,40.6,6.3,334
"06432012","Messel",48.4,20.9,24.9,5.7,759
"06432013","Modautal",36.8,13.1,48.9,6.7,820
"06432014","Mühltal",42.1,21.1,33.9,5.5,386
"06432015","Münster b Dieburg",41.2,22.1,34.6,7.3,312
"06432016","Ober-Ramstadt",41.5,15.6,41.1,7,431
"06432017","Otzberg",24.6,10.8,63.7,5.7,708
"06432018","Pfungstadt",29.4,22.6,46,8.4,383
"06432019","Reinheim",4.7,23,70.5,8.3,389
"06432020","Roßdorf b Darmstadt",35,24.3,37.7,8.7,397
"06432021","Schaafheim",34.1,14.2,50.4,6.4,494
"06432022","Seeheim-Jugenheim",49.6,20.8,28.5,6.4,354
"06432023","Weiterstadt",20.9,28.9,47.4,9.6,381
"06433001","Biebesheim am Rhein",1.7,24.5,61,6.7,675
"06433002","Bischofsheim",1.3,53.6,37.9,22.8,368
"06433003","Büttelborn",18.9,21.4,57.8,8,432
"06433004","Gernsheim",23.6,19.4,52.5,6.5,737
"06433005","Ginsheim-Gustavsburg",1.3,39.6,31.5,8.8,328
"06433006","Groß-Gerau",24.5,20.5,52.5,7,437
"06433007","Kelsterbach",23.2,55.6,14.7,28.6,503
"06433008","Mörfelden-Walldorf",54.8,22,20.4,7.2,279
"06433009","Nauheim",40.3,22.1,34.8,7.8,285
"06433010","Raunheim",48.7,40.4,2.5,12.8,312
"06433011","Riedstadt",10,15.2,65.2,5.4,471
"06433012","Rüsselsheim",42.8,35.3,19.3,12.4,312
"06433013","Stockstadt am Rhein",20,15.5,53.6,4.7,480
"06433014","Trebur",2.4,13.2,72.2,5.2,496
"06434001","Bad Homburg v.d.Höhe",41.4,30.9,26.8,7.9,291
"06434002","Friedrichsdorf",42.4,24.8,24.8,8.2,296
"06434003","Glashütten, Taunus",69.7,11.5,17.9,4.4,587
"06434004","Grävenwiesbach",50.6,12.6,35.8,8.1,1023
"06434005","Königstein im Taunus",64.1,22.9,11.3,4.3,343
"06434006","Kronberg im Taunus",37.7,34.6,26.3,6.1,352
"06434007","Neu-Anspach",42.4,21.6,34.6,7.6,538
"06434008","Oberursel (Taunus)",42.3,27.7,29,8.2,269
"06434009","Schmitten",65.6,15.1,17.9,5.4,567
"06434010","Steinbach (Taunus)",16.1,42.7,40.8,10.2,176
"06434011","Usingen",43.8,16.2,38.6,7.2,613
"06434012","Wehrheim",39.7,18.8,40.1,7,768
"06434013","Weilrod",57.1,12,28.8,7.1,1316
"06435001","Bad Orb",69.1,8.9,20.8,2.8,419
"06435002","Bad Soden-Salmünster",35.3,17.4,43.8,7.4,759
"06435003","Biebergemünd",67.9,8.9,21.9,4.3,842
"06435004","Birstein",32.3,10.2,55.3,6,1429
"06435005","Brachttal",31.7,12.9,53.7,6.1,785
"06435006","Bruchköbel",15.7,25.3,57.4,8.9,367
"06435007","Erlensee",16.8,30.9,46.9,9.2,379
"06435008","Flörsbachtal",70.8,7.3,19.8,4.5,1633
"06435009","Freigericht",44.8,19.4,34.2,5.7,453
"06435010","Gelnhausen",47.7,24.9,24.5,9.3,484
"06435011","Großkrotzenburg",13.6,44.4,26,9.7,441
"06435012","Gründau",48.4,14.6,33.8,6,674
"06435013","Hammersbach",25.6,15.5,56.8,7.9,649
"06435014","Hanau",35.2,43.4,16.9,12.6,344
"06435015","Hasselroth",30.5,17.9,50.1,6.5,462
"06435016","Jossgrund",53.7,9.5,35.7,4.9,1417
"06435017","Langenselbold",18.8,25.1,51,9.3,467
"06435018","Linsengericht",43.9,17.8,36.8,6.4,538
"06435019","Maintal",17,33.1,45.1,11.1,271
"06435020","Neuberg",13.4,23.7,60.5,8.8,461
"06435021","Nidderau",21,17.9,59.5,7.4,405
"06435022","Niederdorfelden",7.9,20.3,70.5,7.8,336
"06435023","Rodenbach b Hanau",51.4,23.8,19.6,6.1,355
"06435024","Ronneburg, Hess",15.6,16.4,66,7.8,682
"06435025","Schlüchtern",30.9,15.5,50.7,8.5,1108
"06435026","Schöneck",10.3,21.4,64.7,7.9,387
"06435027","Sinntal",42.6,11.3,43.6,6.8,1426
"06435028","Steinau a.d.Straße",31.2,12.7,52.9,7.2,1312
"06435029","Wächtersbach",47.1,15.3,34.6,6.4,614
"06435200","Gutsbezirk Spessart",96.5,1.2,1.9,0.9,0
"06436001","Bad Soden am Taunus",20.3,40.7,37.5,9.5,223
"06436002","Eppstein",50.3,20.2,27.7,7.6,358
"06436003","Eschborn",0,48.6,49.7,13.6,273
"06436004","Flörsheim am Main",1.2,37.6,54.9,10.2,399
"06436005","Hattersheim am Main",3,41.7,50.1,11.6,238
"06436006","Hochheim am Main",0.3,36,57.8,11.5,391
"06436007","Hofheim am Taunus",40.4,25,33,8.4,362
"06436008","Kelkheim (Taunus)",41.8,26.7,30.8,7,282
"06436009","Kriftel",0,46.9,52.3,15.1,283
"06436010","Liederbach am Taunus",0.6,36.6,61.6,13.8,256
"06436011","Schwalbach am Taunus",8.3,57.7,32.1,14.3,244
"06436012","Sulzbach (Taunus)",6.4,36,52.7,12.2,313
"06437001","Bad König",45.8,11.7,41,5.1,561
"06437003","Brensbach",28.3,16.9,52.5,8.4,787
"06437004","Breuberg",63.9,13.4,21.5,4.8,556
"06437005","Brombachtal",28.8,16.5,53.7,7.7,971
"06437006","Erbach",58.6,13,27.4,5.3,583
"06437007","Fränkisch-Crumbach",33.4,9.7,56.1,3.3,499
"06437009","Höchst i. Odw.",50,19.1,29.2,8.9,570
"06437010","Lützelbach",53.7,12.7,33,5.2,653
"06437011","Michelstadt",60.5,10.9,27.9,4.2,593
"06437012","Mossautal",65.4,6.1,27.7,3.3,1215
"06437013","Reichelsheim (Odenwald)",32.3,11.5,54.9,5.2,782
"06437016","Oberzent",70.7,7.2,21.4,3.7,1176
"06438001","Dietzenbach",36.8,39.6,22.4,10.4,250
"06438002","Dreieich",45.9,26.9,25.4,7.7,341
"06438003","Egelsbach",35.4,30.9,31.1,11.3,399
"06438004","Hainburg",35.1,29.5,28.2,8.7,326
"06438005","Heusenstamm",56.9,27.9,11.7,7.7,280
"06438006","Langen (Hessen)",50.3,28.9,15.5,7.9,220
"06438007","Mainhausen",40.7,31.3,15.5,11.2,599
"06438008","Mühlheim am Main",38.3,35.1,21.1,8.3,253
"06438009","Neu-Isenburg",57.8,36.3,5.1,11.3,231
"06438010","Obertshausen",36.1,43.8,17.1,13.2,239
"06438011","Rodgau",40,26.7,31.4,8.4,379
"06438012","Rödermark",37.7,28.4,32,8.7,301
"06438013","Seligenstadt",43.8,24.5,28,7.9,356
"06439001","Aarbergen",41.7,15.5,40.7,8.1,839
"06439002","Bad Schwalbach",58,16.5,23.6,8.7,593
"06439003","Eltville am Rhein",43.1,14.9,32.9,5.5,411
"06439004","Geisenheim",63.5,13.7,19.1,5,475
"06439005","Heidenrod",58.9,10.2,29.3,6.2,1242
"06439006","Hohenstein, Untertaunus",51,10.1,37.2,6.3,1046
"06439007","Hünstetten",40.3,14.4,43.7,7.6,695
"06439008","Idstein",45.7,16.6,36.3,8.5,528
"06439009","Kiedrich",53.1,10.4,35.9,4.3,315
"06439010","Lorch, Rheingau",61.1,9.8,15.7,5.8,1399
"06439011","Niedernhausen",57.8,18.6,22.6,7.3,445
"06439012","Oestrich-Winkel",65.3,9.7,19.9,4.1,488
"06439013","Rüdesheim am Rhein",62.3,10.6,19.7,5.2,548
"06439014","Schlangenbad",59.5,13.2,24.4,7.3,746
"06439015","Taunusstein",51.5,18.6,27.4,7.8,415
"06439016","Waldems",55.5,11.5,31.9,6.5,822
"06439017","Walluf",20.6,28.2,42.6,8.7,344
"06440001","Altenstadt, Hess",15.4,22.3,59.4,8.5,548
"06440002","Bad Nauheim",10.7,31.9,54.5,9.8,320
"06440003","Bad Vilbel",6.7,38.8,51.3,10.7,291
"06440004","Büdingen",44.8,11.4,41.9,5.2,626
"06440005","Butzbach",39.7,15.7,43.3,7.2,635
"06440006","Echzell",29.4,10.8,54.2,5.6,704
"06440007","Florstadt",25.9,13.8,58.4,6.2,623
"06440008","Friedberg (Hessen)",18.1,24.5,56.1,8,418
"06440009","Gedern",42.7,10.5,45,5.6,1090
"06440010","Glauburg",21,17,60,8,709
"06440011","Hirzenhain",54.5,15,28,6.5,841
"06440012","Karben",6.9,20,71,6.8,392
"06440013","Kefenrod",25.5,10.1,63.3,5.9,1130
"06440014","Limeshain",30.1,21.8,46.8,8.2,474
"06440015","Münzenberg",12.4,16.4,68.4,9.8,898
"06440016","Nidda",32.4,13.7,51.9,7.2,940
"06440017","Niddatal",17.7,12.9,67.6,5.7,529
"06440018","Ober-Mörlen",42.9,13.2,40.7,6.8,863
"06440019","Ortenberg, Hess",39,13.5,44.9,7,826
"06440020","Ranstadt",29.3,13.5,52.2,7.9,907
"06440021","Reichelsheim (Wetterau)",6.8,14.4,74.5,6.8,593
"06440022","Rockenberg",19.6,15.3,60.1,6.4,571
"06440023","Rosbach v.d.Höhe",34.4,17.6,47.1,6.8,635
"06440024","Wölfersheim",9,16.3,72.7,7.5,716
"06440025","Wöllstadt",0.8,16.9,80.5,7.1,400
"06531001","Allendorf (Lumda)",37.1,13.6,47.3,5.7,735
"06531002","Biebertal",44.5,15.5,37.1,7.4,677
"06531003","Buseck",24.8,23.4,49.9,9.3,702
"06531004","Fernwald",35.9,21.8,40.5,9.1,679
"06531005","Gießen",24.4,41.7,30.3,12.6,337
"06531006","Grünberg, Hess",31.2,13.5,53.7,6.7,887
"06531007","Heuchelheim",5.7,36.5,50.2,10,493
"06531008","Hungen",26.7,13,55.3,5.9,894
"06531009","Langgöns",38.5,17.4,42.7,8.2,783
"06531010","Laubach, Hess",51.8,10.5,35.8,5.1,1064
"06531011","Lich",34.9,13.3,50,5.8,749
"06531012","Linden, Hessen",26.8,27.6,42.9,11.6,480
"06531013","Lollar",32.1,24.9,38.7,9.6,518
"06531014","Pohlheim",12,24.6,61.5,10.9,516
"06531015","Rabenau, Hess",37.9,11.4,48.2,5.4,983
"06531016","Reiskirchen",30.3,19.3,48.5,7.8,849
"06531017","Staufenberg, Hess",38.1,16.1,43.6,6.8,543
"06531018","Wettenberg",55.7,17.5,24.2,7.6,597
"06532001","Aßlar",46.2,19.2,32.8,8.5,613
"06532002","Bischoffen",56.5,11.4,29.8,6.6,1226
"06532003","Braunfels",56,16.2,26.3,6.2,699
"06532004","Breitscheid, Hess",33.5,14.1,48.7,7.5,954
"06532005","Dietzhölztal",66.8,11,21.3,4.9,738
"06532006","Dillenburg",53.2,17,28.6,6.5,613
"06532007","Driedorf",33.2,13.3,51,6.5,1255
"06532008","Ehringshausen",48.7,15.6,33.8,7.6,758
"06532009","Eschenburg",46.7,18.6,32.6,8.8,855
"06532010","Greifenstein",51.2,12.2,33,6.8,1251
"06532011","Haiger",58.6,14.7,24.7,7,811
"06532012","Herborn, Hess",45.8,22.2,26.6,9.8,688
"06532013","Hohenahr",42.9,11.4,43.2,6,1092
"06532014","Hüttenberg",29,17.1,52.8,7.9,643
"06532015","Lahnau",35.8,18.9,43.3,8.8,550
"06532016","Leun",47.6,15.9,32.5,8,795
"06532017","Mittenaar",58.4,10.9,25.2,4.9,801
"06532018","Schöffengrund",32.1,15.1,52.1,7.6,803
"06532019","Siegbach",51.7,10.7,36,7.2,1221
"06532020","Sinn",58.2,22.1,17.6,8.1,651
"06532021","Solms",42.3,22.8,31.6,7.8,568
"06532022","Waldsolms",56.4,12.7,29.5,6.5,1208
"06532023","Wetzlar",29.5,34,31.7,11.5,485
"06533001","Beselich",26.6,18.5,51.7,8,1019
"06533002","Brechen",9.5,19,66.9,10.3,727
"06533003","Bad Camberg",45.6,15.8,37.1,7.1,606
"06533004","Dornburg, Westerw",25.4,19.1,48.5,7.8,757
"06533005","Elbtal",14.7,20.1,57.6,8.1,934
"06533006","Elz",41.5,26.3,29.3,10.8,554
"06533007","Hadamar",21.8,19.1,55.8,7.8,626
"06533008","Hünfelden",24.7,12.8,60.8,6.7,830
"06533009","Limburg a.d.Lahn",5.5,39.8,51.5,12.4,506
"06533010","Löhnberg",48.3,13.4,35.5,6.9,1014
"06533011","Mengerskirchen",39.4,17,37.9,7.7,928
"06533012","Merenberg",38.2,15.6,43.3,7.2,1116
"06533013","Runkel",26,17.3,51.7,7.4,809
"06533014","Selters (Taunus)",45,13.7,40,7.1,700
"06533015","Villmar",35.9,13.6,48,6.8,873
"06533016","Waldbrunn (Westerwald)",34.2,15.9,46.9,7.4,832
"06533017","Weilburg",45.1,18,34.4,7.6,799
"06533018","Weilmünster",48.1,13.5,36.6,7.6,1204
"06533019","Weinbach",38.3,12.8,42.6,7.2,1118
"06534001","Amöneburg",28.6,10.5,59.2,5.8,914
"06534002","Angelburg",46.4,18.1,33.8,8.2,853
"06534003","Bad Endbach",42.5,16.2,39.1,8.4,815
"06534004","Biedenkopf",67.3,12.1,18.5,4.4,805
"06534005","Breidenbach",51.6,17.8,27.4,9,1192
"06534006","Cölbe",17.7,19,58.1,8.2,760
"06534007","Dautphetal",48.2,14.2,35.5,6.4,899
"06534008","Ebsdorfergrund",32,11.1,54.8,5.6,902
"06534009","Fronhausen",31,14.3,51.2,7.9,963
"06534010","Gladenbach",42.5,14,42.4,6.7,826
"06534011","Kirchhain",25.5,14.3,57.3,7.1,797
"06534012","Lahntal",34.4,13.1,48.2,6,766
"06534013","Lohra",43.1,12.1,43.3,6.7,1102
"06534014","Marburg",41.5,22.4,34.3,7.5,360
"06534015","Münchhausen am Christenberg",21.6,11.9,65.5,7.3,1496
"06534016","Neustadt (Hessen)",36.7,12.8,49.3,5.9,733
"06534017","Rauschenberg",47.6,8.3,43.1,4.8,1263
"06534018","Stadtallendorf",40.4,19.9,37.6,5.8,730
"06534019","Steffenberg",40.4,18.2,38.6,9.5,1122
"06534020","Weimar (Lahn)",29.3,13.8,53.1,7.4,904
"06534021","Wetter (Hessen)",49.9,7.9,41.4,4.2,938
"06534022","Wohratal",37.9,10.9,49.8,6.3,1538
"06535001","Alsfeld",33.3,13.1,51.9,6.3,1061
"06535002","Antrifttal",35.6,9.7,52.1,5.5,1415
"06535003","Feldatal",30.6,9.4,57.9,6.1,2169
"06535004","Freiensteinau",23.7,11,61.9,7,2363
"06535005","Gemünden (Felda)",43.1,10.1,44.6,6.8,2052
"06535006","Grebenau",55.9,7.1,35.2,3.7,1646
"06535007","Grebenhain",34.2,10.9,53,6.6,2145
"06535008","Herbstein",37.3,10.7,49.5,6.3,1827
"06535009","Homberg (Ohm)",33.3,10.3,53.8,5.1,1218
"06535010","Kirtorf",43.6,6.8,48.3,4.2,1731
"06535011","Lauterbach (Hess.)",34.8,13.6,49.3,5.4,1016
"06535012","Lautertal (Vogelsberg)",40.3,9.1,48.6,5.7,2116
"06535013","Mücke",29.2,13.6,55.1,7.3,1246
"06535014","Romrod",45.6,7.9,45.2,4.7,1628
"06535015","Schlitz",54.3,8,35.5,4.3,1176
"06535016","Schotten",41.8,12.1,43.6,7.6,1599
"06535017","Schwalmtal, Hess",34.6,9.3,53.8,5,1816
"06535018","Ulrichstein",29,10.9,58.2,7.1,2420
"06535019","Wartenberg, Hess",55.6,10,32.6,4.4,1024
"06611000","Kassel, krsfr. Stadt",21.4,61.2,14.1,13.6,323
"06631001","Bad Salzschlirf",55.7,15,27.7,5.9,569
"06631002","Burghaun",36,13.3,48.9,7.8,1357
"06631003","Dipperz",22.1,12.9,63.3,6.1,1112
"06631004","Ebersburg",26.9,14.6,57.1,7.5,1164
"06631005","Ehrenberg (Rhön)",30.1,9.5,58.1,5.5,1508
"06631006","Eichenzell",34.1,19.9,43.2,9.4,1009
"06631007","Eiterfeld",27.6,11.6,59,6.2,1488
"06631008","Flieden",20.1,17,60.7,8.4,985
"06631009","Fulda",23.9,30.8,43.1,9.7,466
"06631010","Gersfeld (Rhön)",49.5,10.3,38,6.2,1693
"06631011","Großenlüder",41,11.5,45,5.6,998
"06631012","Hilders",38.2,11.3,48.1,6.9,1702
"06631013","Hofbieber",39.2,10.1,49.6,5.8,1452
"06631014","Hosenfeld",42.2,10.1,46.2,5.4,1097
"06631015","Hünfeld",42.1,14.3,41.7,6.3,1030
"06631016","Kalbach",40.6,12.5,45,7.4,1379
"06631017","Künzell",21,26.3,51.5,7.9,476
"06631018","Neuhof, Kr Fulda",56.4,11.8,30.4,4.8,984
"06631019","Nüsttal",36.8,9.4,51.8,5.8,1511
"06631020","Petersberg, Kr Fulda",12.3,25.9,59.2,10.1,574
"06631021","Poppenhausen (Wasserkuppe)",26,11.6,58.5,7,1773
"06631022","Rasdorf",29.6,8.9,60.5,5.3,1719
"06631023","Tann (Rhön)",32.5,10.9,55.1,6.5,1497
"06632001","Alheim",41.6,9.9,45.6,5.8,1286
"06632002","Bad Hersfeld",41.4,23.6,32.7,8.2,583
"06632003","Bebra",34.3,15.1,48,7.9,1014
"06632004","Breitenbach a. Herzberg",53.7,8.6,36.6,5.8,2194
"06632005","Cornberg",34.4,9.3,54.5,6.1,1639
"06632006","Friedewald, Hess",49.1,10.7,38.8,6.4,1733
"06632007","Hauneck",20.6,17.9,59.4,8.8,998
"06632008","Haunetal",39.4,10.4,49.1,6.8,1971
"06632009","Heringen (Werra)",48,13.5,35.7,5.3,1157
"06632010","Hohenroda",27.4,13.3,58.4,6,1562
"06632011","Kirchheim, Hess",47.7,13.3,37.4,7.6,1896
"06632012","Ludwigsau",62.7,8,28,4.7,1625
"06632013","Nentershausen, Hess",56.8,7.3,34.6,3.9,1631
"06632014","Neuenstein, Hess",52.8,10.2,35.4,7.1,2189
"06632015","Niederaula",39.2,13.9,45.1,8.6,1668
"06632016","Philippsthal (Werra)",28.1,23.2,45.5,8.1,1215
"06632017","Ronshausen",72.7,6.6,20,3.4,1068
"06632018","Rotenburg a.d.Fulda",46.6,12.6,38.5,5.8,692
"06632019","Schenklengsfeld",39.4,9.1,50.7,5.5,1335
"06632020","Wildeck",40.5,15.3,41.3,7.5,1241
"06633001","Ahnatal",18.1,25.8,54.1,8.6,585
"06633002","Bad Karlshafen",11,21,62.7,8.5,856
"06633003","Baunatal",21.1,41.5,35.3,11.8,573
"06633004","Breuna",23.1,11.4,64.4,5.9,1309
"06633005","Calden",23.1,16.4,59.5,9.5,1186
"06633006","Bad Emstal",42.8,12.1,44.3,5.1,790
"06633007","Espenau",6.8,21.6,70.5,7.9,569
"06633008","Fuldabrück",10.6,34.1,47.8,10.6,696
"06633009","Fuldatal",20,28.2,48.7,9,769
"06633010","Grebenstein",9.6,13.5,75.6,7.6,1173
"06633011","Habichtswald",31.5,13.9,49.6,6.5,765
"06633012","Helsa",54.9,16.5,25.2,6.9,747
"06633013","Hofgeismar",19.8,15.6,62.8,5.8,883
"06633014","Immenhausen",5.8,18.5,74.1,7.7,747
"06633015","Kaufungen",30.8,27,38.9,8.8,565
"06633016","Liebenau, Hess",24.2,10.2,61.9,5.8,1656
"06633017","Lohfelden",1.1,44,51.2,12.9,513
"06633018","Naumburg",41.7,8.4,48.7,4.4,1111
"06633019","Nieste",21.5,27.5,47.7,6.8,551
"06633020","Niestetal",28.3,26.5,42.7,8.1,526
"06633021","Oberweser",50.1,9.6,37.2,4.8,1270
"06633022","Reinhardshagen",4.8,24.5,63.9,8.9,728
"06633023","Schauenburg",18,21.8,58.5,9,644
"06633024","Söhrewald",78.4,6.5,14.2,3.2,820
"06633025","Trendelburg",14.8,11.2,71,6.4,1581
"06633026","Vellmar",6.5,51.1,41.1,14.8,392
"06633027","Wahlsburg",4.8,19,71.2,8.4,1074
"06633028","Wolfhagen",34.1,12.7,51.3,6.4,1095
"06633029","Zierenberg",50.4,10,38.6,5.1,1318
"06633200","Gutsbezirk Reinhardswald",98.4,0.7,0.7,0.7,0
"06634001","Borken (Hessen)",21.7,15.4,54.6,6.7,1008
"06634002","Edermünde",17.5,20,59.3,8.2,704
"06634003","Felsberg",28.9,12.4,54.3,6.6,970
"06634004","Frielendorf",35,10.8,52.3,5.7,1280
"06634005","Fritzlar",28.3,15.6,50.8,5.7,939
"06634006","Gilserberg",46.2,8.8,43.8,5.5,1848
"06634007","Gudensberg",17.4,16,65.3,7.5,768
"06634008","Guxhagen",29.1,17.8,49.9,8.6,870
"06634009","Homberg (Efze)",25.6,15.1,56,6.7,1078
"06634010","Jesberg",54.8,6.2,38.1,3.4,1391
"06634011","Knüllwald",59.2,9.6,29.3,5.7,2242
"06634012","Körle",36.5,16,44.5,8.7,928
"06634013","Malsfeld",20.3,16.1,58.3,8.4,1430
"06634014","Melsungen",54.8,15.7,27.1,5.9,724
"06634015","Morschen",52.8,9,34.3,5,1344
"06634016","Neuental",20.6,12.4,64.9,6.2,1596
"06634017","Neukirchen, Knüll",41.8,11.4,43.6,6.3,1087
"06634018","Niedenstein",20.4,14.6,63.6,6.2,841
"06634019","Oberaula",39.9,11.4,39.5,6,1567
"06634020","Ottrau",46.1,8.9,43.7,6,2035
"06634021","Schrecksbach",27,11.2,60.4,6.5,1352
"06634022","Schwalmstadt",25.8,17.6,52.8,7.6,830
"06634023","Schwarzenborn, Knüll",20.4,7.1,30.6,4.4,1649
"06634024","Spangenberg",55.5,8.4,34.5,5,1364
"06634025","Wabern",8.3,17.9,68,8,1258
"06634026","Willingshausen",24.8,9.9,64,5.3,1252
"06634027","Bad Zwesten",51.3,9.2,37.9,4.3,954
"06635001","Allendorf (Eder)",51,14.8,32.4,7.6,1105
"06635002","Bad Arolsen",48.5,11.8,37.4,5,974
"06635003","Bad Wildungen",51.7,12.5,34.1,5.7,870
"06635004","Battenberg (Eder)",56.7,11.2,29.8,6.3,1359
"06635005","Bromskirchen",62.8,9.6,26.7,4.9,1754
"06635006","Burgwald",49.1,12.2,37.8,5.7,1024
"06635007","Diemelsee",29,8.7,59.7,5.2,2258
"06635008","Diemelstadt",37,9.4,51.9,5.2,1498
"06635009","Edertal",46.5,8,35.2,4.1,1485
"06635010","Frankenau",51.2,8.3,39.3,5.1,1634
"06635011","Frankenberg (Eder)",42,13,42.9,6.3,915
"06635012","Gemünden (Wohra)",45.5,8.9,44.7,5.2,1366
"06635013","Haina (Kloster)",64.1,6,29.1,3.7,1596
"06635014","Hatzfeld (Eder)",67.2,8.5,21.9,5.1,1686
"06635015","Korbach",30.8,14.2,53.9,6.1,752
"06635016","Lichtenfels, Hess",39,7.6,51.7,4.4,1792
"06635017","Rosenthal, Hess",68,5.4,26.1,3.2,1296
"06635018","Twistetal",34.2,8.1,56,4.5,1419
"06635019","Vöhl",48.4,9.3,36.9,5.5,1656
"06635020","Volkmarsen",28.7,11.7,57.1,5.9,1165
"06635021","Waldeck, Hess",40.7,10.5,46.8,5.7,1809
"06635022","Willingen (Upland)",51.8,10.5,35.4,5.6,1388
"06636001","Bad Sooden-Allendorf",51.3,10.9,35.1,5.7,928
"06636002","Berkatal",24.7,12.4,60.6,6.8,1655
"06636003","Eschwege",24.1,23.4,46.9,9.4,761
"06636004","Großalmerode",31.5,17,44.2,7.5,999
"06636005","Herleshausen",36,10.1,51.3,6.6,2147
"06636006","Hessisch Lichtenau",45.8,13.2,38.6,6,1127
"06636007","Meinhard",41.8,13.5,37.6,7.3,1171
"06636008","Meißner",33.1,11.8,53.2,6,1792
"06636009","Neu-Eichenberg",32.6,10,56.1,5.8,1514
"06636010","Ringgau",32.2,10,54.3,7.1,2336
"06636011","Sontra",34.9,11.6,51.1,7.4,1654
"06636012","Waldkappel",48.8,8.4,41.3,5.3,1918
"06636013","Wanfried",48.1,10.2,38.8,5,1149
"06636014","Wehretal",39.9,13.1,43.9,7.1,1037
"06636015","Weißenborn b Eschwege",41.1,11.9,44.9,8.5,1905
"06636016","Witzenhausen",42.5,10.7,42.8,4.9,898
"06636200","Gutsbezirk Kaufunger Wald",99.2,0.5,0.2,0.4,0
"07111000","Koblenz, krsfr. Stadt",31.6,36.6,22.9,10.7,337
"07131007","Bad Neuenahr-Ahrweiler, verbandsfr. Gemeinde",55.3,20.8,20.4,8.4,462
"07131070","Remagen, verbandsfr. Gemeinde",43.5,24.8,20.7,7.3,480
"07131077","Sinzig, verbandsfr. Gemeinde",41.7,20.5,33.2,7.7,477
"07131090","Grafschaft, verbandsfr. Gemeinde",18.8,16.9,61.6,7.9,886
"07131001","Adenau",69.6,16,11.3,8.1,1009
"07131004","Antweiler",50.6,14.9,28.5,7.1,1360
"07131005","Aremberg",67.2,5.6,26.3,3.5,2465
"07131008","Barweiler",51.6,9.3,36.5,6.1,2075
"07131009","Bauler b Barweiler",29.8,8.3,57.4,5.6,3135
"07131015","Dankerath",56.2,7.5,33.6,6,3278
"07131018","Dorsel",48.4,8.7,39.9,5.2,3112
"07131021","Eichenbach",76.4,6,15.7,4.5,3983
"07131022","Fuchshofen",55.2,12.8,27.4,10.7,3860
"07131026","Harscheid",33.9,12.4,50.9,9.4,2899
"07131028","Herschbroich",64.3,13.4,21,8.4,3608
"07131030","Hoffeld, Eifel",35.5,10.7,50.3,7.1,2014
"07131032","Honerath",40.6,14.9,42.6,9.5,1865
"07131033","Hümmel",51.4,7.6,39.9,5.1,2505
"07131034","Insul",48.8,12.6,34.2,7.8,1375
"07131037","Kaltenborn",73.8,6.2,19.2,4.5,3923
"07131042","Kottenborn",43.6,10.9,43.3,8.1,2400
"07131044","Leimbach b Adenau",81.9,8.1,8.3,5.9,2746
"07131050","Meuspath",22.1,21.7,53.5,9.3,4620
"07131051","Müllenbach b Adenau",42.5,20.6,34,10.1,3515
"07131052","Müsch",58.6,13.3,23.5,9.4,2360
"07131058","Nürburg",44.6,39.5,14.5,16.8,8451
"07131062","Ohlenhard",52.3,7.2,39,4.9,2424
"07131065","Pomster",55.6,7.1,33.4,4.3,2646
"07131066","Quiddelbach",53.2,13.4,31.2,8.3,2322
"07131069","Reifferscheid",63.2,8.3,26.9,6,2422
"07131072","Rodder",53.3,8.2,37.5,5.9,2190
"07131074","Schuld",56.5,18.1,20.2,10.8,1605
"07131075","Senscheid",52.9,8.6,37.2,6.8,4094
"07131076","Sierscheid",47.1,9.9,42.1,7.1,2518
"07131079","Trierscheid",48.8,7.1,42.3,5.1,4233
"07131082","Wershofen",53.3,9.5,35,5.9,1513
"07131083","Wiesemscheid",45.7,11.7,40.9,8.1,2701
